127.0.0.1, 2017-01-29 01:09:58, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000425
127.0.0.1, 2017-01-29 01:09:58, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000696
127.0.0.1, 2017-01-29 01:09:58, GET, /welcome/static/images/background.jpg, HTTP/1.1, 304, 0.000692
127.0.0.1, 2017-01-29 01:09:58, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000540
127.0.0.1, 2017-01-29 01:09:58, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000397
127.0.0.1, 2017-01-29 01:09:58, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000421
127.0.0.1, 2017-01-29 01:09:58, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000337
127.0.0.1, 2017-01-29 01:09:58, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001058
127.0.0.1, 2017-01-29 01:10:01, GET, /examples/default/index, HTTP/1.1, 200, 0.018356
127.0.0.1, 2017-01-29 01:10:01, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.001015
127.0.0.1, 2017-01-29 01:10:01, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.000547
127.0.0.1, 2017-01-29 01:10:01, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.001237
127.0.0.1, 2017-01-29 01:10:01, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.000603
127.0.0.1, 2017-01-29 01:10:01, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.003157
127.0.0.1, 2017-01-29 01:10:01, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.000530
127.0.0.1, 2017-01-29 01:10:01, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.000617
127.0.0.1, 2017-01-29 01:10:01, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.000638
127.0.0.1, 2017-01-29 01:10:01, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.000711
127.0.0.1, 2017-01-29 01:10:01, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.000721
127.0.0.1, 2017-01-29 01:10:01, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.000377
127.0.0.1, 2017-01-29 01:10:01, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.000439
127.0.0.1, 2017-01-29 01:10:02, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.001073
127.0.0.1, 2017-01-29 01:10:04, GET, /welcome/default/index, HTTP/1.1, 200, 0.033666
127.0.0.1, 2017-01-29 01:10:08, GET, /welcome/default/index, HTTP/1.1, 200, 0.042577
127.0.0.1, 2017-01-29 01:12:02, GET, /welcome/index.html, HTTP/1.1, 400, 0.002468
127.0.0.1, 2017-01-29 01:12:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000323
